"","UNIQUE_CARRIER_NAME","YEAR","MONTH","sum_seats","sum_passengers","sum_distance","sum_airtime","Date","log_passenger","log_seats","log_airtime","log_distance"
"156","Air Transport International",2015,11,234,0,32582,53904,2015-11-01,0,5.45958551414416,10.8949785169732,10.3915459589481
"157","Air Transport International",2015,12,264,0,37881,60173,2015-12-01,0,5.57972982598622,11.0049956443163,10.5422313442167
"158","Air Wisconsin Airlines Corp",2015,1,584550,400961,110199,729817,2015-01-01,12.9016219387061,13.2785993101511,13.5005504669719,11.610052175701
"159","Air Wisconsin Airlines Corp",2015,2,537600,403692,95282,661920,2015-02-01,12.9084099670821,13.1948719283084,13.4029014924507,11.4646066896796
"160","Air Wisconsin Airlines Corp",2015,3,614150,486195,108335,754541,2015-03-01,13.0943671137633,13.3279961052326,13.5338662216447,11.5929927877254
"161","Air Wisconsin Airlines Corp",2015,4,625771,509201,104588,774866,2015-04-01,13.1406000733874,13.3467413664866,13.5604466807051,11.5577936625591
"162","Air Wisconsin Airlines Corp",2015,5,640133,529231,106583,780577,2015-05-01,13.1791821780267,13.36943280842,13.5677899498829,11.57668868564
"163","Air Wisconsin Airlines Corp",2015,6,636677,519345,119649,779226,2015-06-01,13.1603256066912,13.3640193122434,13.5660576816342,11.6923260933365
"164","Air Wisconsin Airlines Corp",2015,7,676228,561844,117197,814103,2015-07-01,13.2389812901241,13.4242870550562,13.6098434009513,11.671620091133
"165","Air Wisconsin Airlines Corp",2015,8,669811,553779,114583,796062,2015-08-01,13.2245227749462,13.4147523549775,13.5874336074233,11.6490634574597
"166","Air Wisconsin Airlines Corp",2015,9,620009,482605,106844,742302,2015-09-01,13.0869558647522,13.3374908859235,13.5175127945901,11.5791344650806
"167","Air Wisconsin Airlines Corp",2015,10,636053,511400,102578,770855,2015-10-01,13.1449092972538,13.3630387443784,13.5552568646737,11.5383885124068
"168","Air Wisconsin Airlines Corp",2015,11,594999,457034,105083,738583,2015-11-01,13.032515253377,13.2963166845278,13.512490118561,11.5625153093102
"169","Air Wisconsin Airlines Corp",2015,12,601050,454234,131844,758656,2015-12-01,13.0263699642492,13.3064350684861,13.5393050438271,11.7893822691815
"170","AirBridgeCargo Airlines Limited",2015,1,0,0,802,0,2015-01-01,0,0,0,6.68835471394676
"171","AirBridgeCargo Airlines Limited",2015,2,0,0,802,0,2015-02-01,0,0,0,6.68835471394676
"172","AirBridgeCargo Airlines Limited",2015,3,0,0,1604,0,2015-03-01,0,0,0,7.38087903556412
"173","AirBridgeCargo Airlines Limited",2015,4,0,0,9782,0,2015-04-01,0,0,0,9.18840146445743
"174","AirBridgeCargo Airlines Limited",2015,5,0,0,8980,0,2015-05-01,0,0,0,9.10286651367095
"175","AirBridgeCargo Airlines Limited",2015,6,0,0,8980,0,2015-06-01,0,0,0,9.10286651367095
"176","AirBridgeCargo Airlines Limited",2015,7,0,0,8980,0,2015-07-01,0,0,0,9.10286651367095
"177","AirBridgeCargo Airlines Limited",2015,8,0,0,9782,0,2015-08-01,0,0,0,9.18840146445743
"178","AirBridgeCargo Airlines Limited",2015,9,0,0,8980,0,2015-09-01,0,0,0,9.10286651367095
"179","AirBridgeCargo Airlines Limited",2015,10,0,0,11736,0,2015-10-01,0,0,0,9.37050152410012
"180","AirBridgeCargo Airlines Limited",2015,11,0,0,15667,0,2015-11-01,0,0,0,9.65937569478572
"181","AirBridgeCargo Airlines Limited",2015,12,0,0,16522,0,2015-12-01,0,0,0,9.71250862865099
"182","Alaska Airlines Inc.",2015,1,2052245,1575073,714765,2102626,2015-01-01,14.2698128132651,14.5344453611283,14.5586980732856,13.4797104953835
"183","Alaska Airlines Inc.",2015,2,1883015,1510363,673077,1911163,2015-02-01,14.2278612393436,14.4483853046823,14.4632230384831,13.419616500871
"184","Alaska Airlines Inc.",2015,3,2210385,1854296,708324,2295980,2015-03-01,14.433016206453,14.608677718876,14.646670761126,13.4706583068975
"185","Alaska Airlines Inc.",2015,4,2158703,1751715,743376,2243224,2015-04-01,14.3761064368822,14.5850185995883,14.6234251205535,13.5189585974374
"186","Alaska Airlines Inc.",2015,5,2287405,1862448,737093,2312870,2015-05-01,14.4374028463106,14.6429289823913,14.6540001679332,13.5104707071361
